"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "XML", "CSS", "JavaScript JSX", "comment", "blank", "total"
"/home/misiek/Repozytorium/reklamowe24/README.md", "Markdown", 0, 51, 0, 0, 0, 0, 0, 0, 13, 64
"/home/misiek/Repozytorium/reklamowe24/dist/output.css", "CSS", 0, 0, 0, 0, 0, 309, 0, 165, 73, 547
"/home/misiek/Repozytorium/reklamowe24/eslint.config.mjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 1, 4, 19
"/home/misiek/Repozytorium/reklamowe24/package-lock.json", "JSON", 18430, 0, 0, 0, 0, 0, 0, 0, 1, 18431
"/home/misiek/Repozytorium/reklamowe24/package.json", "JSON", 58, 0, 0, 0, 0, 0, 0, 0, 1, 59
"/home/misiek/Repozytorium/reklamowe24/public/index.html", "HTML", 0, 0, 17, 0, 0, 0, 0, 23, 1, 41
"/home/misiek/Repozytorium/reklamowe24/public/manifest.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/home/misiek/Repozytorium/reklamowe24/src/App.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"/home/misiek/Repozytorium/reklamowe24/src/App.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"/home/misiek/Repozytorium/reklamowe24/src/assets/brands/parker.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/misiek/Repozytorium/reklamowe24/src/assets/brands/waterman.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/misiek/Repozytorium/reklamowe24/src/assets/icons/arrow_circle_right.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/misiek/Repozytorium/reklamowe24/src/assets/icons/arrow_circle_up.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/misiek/Repozytorium/reklamowe24/src/assets/icons/arrow_next.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/home/misiek/Repozytorium/reklamowe24/src/assets/icons/arrow_right.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/misiek/Repozytorium/reklamowe24/src/assets/icons/arrow_up.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/misiek/Repozytorium/reklamowe24/src/assets/icons/burger_menu.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
